high_price,close_price,volume,date,low_price,category,open_price
121.6,121.6,5501.727,2020/12/30,119.9,stock_0050,120
120.2,119.9,3177.14,2020/12/29,119.35,stock_0050,120.05
120,120,3495.974,2020/12/28,119.05,stock_0050,119.05
119.6,118.95,2878.357,2020/12/25,118.6,stock_0050,119.1
118.85,118.8,2498.996,2020/12/24,118.2,stock_0050,118.4
118.3,118.15,4246.98,2020/12/23,117.5,stock_0050,117.85
119.5,118,5849.363,2020/12/22,117.85,stock_0050,119.05
119.4,119.35,4402.203,2020/12/21,117.5,stock_0050,118.25
118.7,118.2,2585.473,2020/12/18,118,stock_0050,118.55
119.15,118.6,3001.579,2020/12/17,118,stock_0050,119.15
119.3,119.25,13383.363,2020/12/16,117.85,stock_0050,117.9
118,117.05,9664.754,2020/12/15,116.75,stock_0050,117.95
118.65,118.25,2479.991,2020/12/14,118,stock_0050,118.65
119.15,118.75,4798.609,2020/12/11,117.25,stock_0050,118.8
119.15,118.6,8417.879,2020/12/10,118.05,stock_0050,119.15
120.2,120.05,6302.763,2020/12/9,119.5,stock_0050,120
120.05,120.05,6401.98,2020/12/8,117.95,stock_0050,118.45
118.75,118.4,6859.57,2020/12/7,117.5,stock_0050,118.5
117.45,117.3,12351.997,2020/12/4,115.9,stock_0050,115.9
116.1,115.4,5977.208,2020/12/3,115,stock_0050,115.45
115.55,115.4,6132.3,2020/12/2,114.5,stock_0050,115
114.3,114.3,5097.362,2020/12/1,113.35,stock_0050,113.8
115.15,113.3,9569.902,2020/11/30,113.3,stock_0050,114.8
114.85,114.65,5329.935,2020/11/27,114.1,stock_0050,114.5
115,114.85,2561.228,2020/11/26,114.05,stock_0050,114.05
115.7,113.95,4184.128,2020/11/25,113.9,stock_0050,115.7
115.95,114.9,6181.698,2020/11/24,114.75,stock_0050,115.95
115.85,115.45,5800.114,2020/11/23,114.65,stock_0050,114.65
114.15,114,4800.675,2020/11/20,113.35,stock_0050,114.15
114.55,114.15,4505.205,2020/11/19,113.8,stock_0050,114.45
114.95,114.35,19747.534,2020/11/18,113.15,stock_0050,113.6
115.75,113.6,8297.028,2020/11/17,113.4,stock_0050,115
112.8,112.8,9421.082,2020/11/16,110.4,stock_0050,110.4
109.3,109.25,3829.664,2020/11/13,108.45,stock_0050,108.6
109.4,108.8,3870.766,2020/11/12,108.7,stock_0050,109
108.75,108.75,8631.279,2020/11/11,107.1,stock_0050,107.1
108,107.1,4451.469,2020/11/10,106.8,stock_0050,108
108.4,108.1,11429.76,2020/11/9,107.25,stock_0050,107.75
107.05,106.7,6315.479,2020/11/6,106.3,stock_0050,106.35
106.4,106.05,4331.427,2020/11/5,105.55,stock_0050,106.2
106.2,106.15,5081.769,2020/11/4,104.7,stock_0050,105
104.85,104.6,4444.06,2020/11/3,104.05,stock_0050,104.2
103.45,103.4,10228.786,2020/11/2,102.3,stock_0050,103.15
