open_price,volume,category,date,close_price,low_price,high_price
59.2,2353.988,stock_006208,2020/10/30,58.8,58.75,59.2
59.3,1865.009,stock_006208,2020/10/29,59.25,58.7,59.4
60.25,1650.822,stock_006208,2020/10/28,59.95,59.85,60.25
60.35,1487.432,stock_006208,2020/10/27,60.3,60.15,60.35
60.65,1506.734,stock_006208,2020/10/26,60.65,60.5,60.9
60.8,1449.264,stock_006208,2020/10/23,60.6,60.5,60.9
60.3,1442.615,stock_006208,2020/10/22,60.55,60.25,60.55
60.65,1079.896,stock_006208,2020/10/21,60.4,60.35,60.8
60.6,1631.812,stock_006208,2020/10/20,60.5,60.5,60.7
59.8,1738.168,stock_006208,2020/10/19,60.6,59.8,60.7
60.2,1948.889,stock_006208,2020/10/16,60.1,60.0,60.7
60.75,1522.732,stock_006208,2020/10/15,60.4,60.05,60.75
60.95,1468.935,stock_006208,2020/10/14,60.75,60.75,61.15
61.35,1744.254,stock_006208,2020/10/13,60.95,60.5,61.45
61.0,2221.936,stock_006208,2020/10/12,61.1,60.9,61.4
60.2,2462.298,stock_006208,2020/10/08,60.55,60.1,60.6
59.4,1691.549,stock_006208,2020/10/07,59.9,59.05,59.9
59.5,2176.205,stock_006208,2020/10/06,59.55,59.2,59.65
59.05,1843.174,stock_006208,2020/10/05,58.9,58.6,59.2
