high_price,low_price,close_price,volume,category,open_price,date
91.6,90.1,91.6,40526.518,stock_2317,91.0,2020/12/30
91.8,90.4,90.4,46148.101,stock_2317,91.8,2020/12/29
93.0,91.8,91.8,67626.965,stock_2317,92.4,2020/12/28
92.2,90.8,91.8,114607.503,stock_2317,90.9,2020/12/25
89.9,89.0,89.6,41263.965,stock_2317,89.5,2020/12/24
89.4,88.3,88.8,56278.242,stock_2317,88.5,2020/12/23
90.5,87.5,87.7,94049.036,stock_2317,88.0,2020/12/22
88.5,86.9,88.0,28905.01,stock_2317,88.1,2020/12/21
88.2,87.5,87.7,27787.804,stock_2317,88.1,2020/12/18
88.4,87.6,87.8,28097.957,stock_2317,88.3,2020/12/17
88.2,87.4,88.2,47026.342,stock_2317,88.0,2020/12/16
88.3,86.5,87.1,38956.46,stock_2317,88.3,2020/12/15
89.0,87.7,87.7,47987.98,stock_2317,88.3,2020/12/14
88.5,85.8,87.6,61349.293,stock_2317,88.5,2020/12/11
88.7,87.1,87.7,54580.931,stock_2317,88.4,2020/12/10
89.3,88.2,89.0,67952.932,stock_2317,88.5,2020/12/09
89.7,87.3,87.6,118755.89,stock_2317,88.4,2020/12/08
88.1,83.1,87.9,163867.512,stock_2317,83.3,2020/12/07
83.4,82.6,82.9,48068.126,stock_2317,83.0,2020/12/04
82.4,81.9,82.0,30688.528,stock_2317,82.3,2020/12/03
83.3,82.4,82.7,38583.64,stock_2317,83.0,2020/12/02
82.9,82.2,82.9,24824.339,stock_2317,82.5,2020/12/01
83.0,82.0,82.3,66105.032,stock_2317,82.7,2020/11/30
83.0,82.5,82.6,21516.682,stock_2317,83.0,2020/11/27
83.2,82.5,83.0,35654.143,stock_2317,82.6,2020/11/26
82.5,81.5,82.0,23351.912,stock_2317,82.4,2020/11/25
83.1,82.0,82.0,22997.794,stock_2317,83.1,2020/11/24
83.2,82.5,82.9,24645.027,stock_2317,82.9,2020/11/23
83.3,82.1,82.5,24856.126,stock_2317,83.3,2020/11/20
83.2,82.5,82.9,23992.52,stock_2317,82.7,2020/11/19
83.4,82.7,83.2,30992.749,stock_2317,82.9,2020/11/18
83.3,82.3,83.0,45390.693,stock_2317,83.1,2020/11/17
82.9,81.9,82.6,50715.538,stock_2317,82.0,2020/11/16
82.0,80.9,81.4,32250.189,stock_2317,81.9,2020/11/13
82.0,80.8,81.9,44996.299,stock_2317,81.7,2020/11/12
81.7,80.4,81.6,36850.179,stock_2317,80.8,2020/11/11
81.2,80.3,80.8,21869.925,stock_2317,81.1,2020/11/10
81.5,80.5,81.2,42301.888,stock_2317,80.7,2020/11/09
79.9,79.3,79.7,21927.838,stock_2317,79.6,2020/11/06
79.3,78.5,79.0,14675.062,stock_2317,79.0,2020/11/05
79.4,78.0,78.8,18927.508,stock_2317,78.4,2020/11/04
78.8,78.1,78.3,14624.015,stock_2317,78.5,2020/11/03
78.3,77.4,78.3,17820.319,stock_2317,77.5,2020/11/02
78.2,77.1,77.5,26399.018,stock_2317,77.6,2020/10/30
78.2,76.8,78.0,30618.945,stock_2317,77.6,2020/10/29
79.7,78.2,78.3,33914.127,stock_2317,79.4,2020/10/28
80.0,79.4,80.0,21240.221,stock_2317,79.9,2020/10/27
81.1,80.0,80.2,14376.6,stock_2317,81.1,2020/10/26
81.4,80.5,80.7,18968.821,stock_2317,81.2,2020/10/23
80.8,80.3,80.8,24773.904,stock_2317,80.8,2020/10/22
81.5,80.3,80.4,32456.107,stock_2317,81.5,2020/10/21
82.0,80.8,81.4,45688.857,stock_2317,81.5,2020/10/20
81.5,79.7,81.3,85721.985,stock_2317,80.0,2020/10/19
79.9,78.2,78.6,48409.062,stock_2317,78.4,2020/10/16
78.5,77.6,78.1,26260.704,stock_2317,77.7,2020/10/15
78.8,78.0,78.0,42431.974,stock_2317,78.1,2020/10/14
79.1,78.1,78.9,22946.661,stock_2317,79.0,2020/10/13
78.8,78.1,78.7,38085.427,stock_2317,78.4,2020/10/12
78.0,77.5,78.0,14942.266,stock_2317,77.8,2020/10/08
77.8,77.1,77.4,17236.406,stock_2317,77.4,2020/10/07
78.2,77.6,77.8,16976.308,stock_2317,78.1,2020/10/06
78.5,77.5,77.7,19075.464,stock_2317,78.2,2020/10/05
78.0,77.3,77.4,19229.698,stock_2317,78.0,2020/09/30
78.4,77.0,77.0,36475.973,stock_2317,77.3,2020/09/29
76.9,74.8,76.9,32250.992,stock_2317,74.9,2020/09/28
75.7,74.1,74.3,38124.876,stock_2317,75.4,2020/09/25
76.4,75.0,75.0,57338.02,stock_2317,76.1,2020/09/24
77.2,76.6,76.7,18141.854,stock_2317,77.0,2020/09/23
77.3,76.5,76.8,25601.394,stock_2317,77.3,2020/09/22
78.3,77.3,77.4,19006.472,stock_2317,77.6,2020/09/21
78.2,77.5,77.6,32663.875,stock_2317,77.9,2020/09/18
79.1,78.0,78.1,20784.04,stock_2317,78.6,2020/09/17
79.4,78.6,78.8,18122.36,stock_2317,79.4,2020/09/16
79.4,78.9,79.1,16938.546,stock_2317,79.4,2020/09/15
79.5,78.6,79.4,27029.525,stock_2317,78.8,2020/09/14
78.5,78.0,78.5,16132.726,stock_2317,78.5,2020/09/11
78.7,78.0,78.5,29117.204,stock_2317,78.0,2020/09/10
77.9,76.6,77.9,22505.471,stock_2317,77.3,2020/09/09
78.1,77.3,77.5,26249.612,stock_2317,77.7,2020/09/08
77.5,76.8,77.3,21248.188,stock_2317,76.8,2020/09/07
77.3,76.6,76.9,36806.71,stock_2317,77.0,2020/09/04
79.3,77.6,77.7,41884.369,stock_2317,78.8,2020/09/03
77.8,77.0,77.8,24934.189,stock_2317,77.2,2020/09/02
77.3,76.4,77.0,22918.104,stock_2317,76.9,2020/09/01
