category,date,open_price,high_price,low_price,close_price,volume
stock_2330,2021/2/3,638,642,630,630,49634.227
stock_2330,2021/2/2,629,638,622,632,80724.207
stock_2330,2021/2/1,595,612,587,611,70161.939
stock_2330,2021/1/29,619,619,591,591,96875.889
stock_2330,2021/1/28,600,608,598,601,104181.514
stock_2330,2021/1/27,618,625,611,615,72823.691
stock_2330,2021/1/26,632,640,610,617,114797.609
stock_2330,2021/1/25,642,646,626,633,98608.285
stock_2330,2021/1/22,649,665,649,649,134238.314
stock_2330,2021/1/21,640,679,640,673,97590.371
stock_2330,2021/1/20,633,650,631,647,95484.47
stock_2330,2021/1/19,618,632,613,627,52947.466
stock_2330,2021/1/18,608,608,594,607,50388.664
stock_2330,2021/1/15,621,625,601,601,100998.199
stock_2330,2021/1/14,587,597,587,592,90309.708
stock_2330,2021/1/13,595,605,593,605,75707.681
stock_2330,2021/1/12,583,597,582,591,52605.212
stock_2330,2021/1/11,577,584,574,584,52771.778
stock_2330,2021/1/8,580,580,571,580,62957.148
stock_2330,2021/1/7,554,570,553,565,53392.763
stock_2330,2021/1/6,555,555,541,549,55614.434
stock_2330,2021/1/5,536,542,535,542,34839.391
stock_2330,2021/1/4,530,540,528,536,39489.959
stock_2330,2020/12/31,526,530,524,530,31173.332
stock_2330,2020/12/30,516,525,514,525,46705.107
stock_2330,2020/12/29,515,517,513,515,20226.736
stock_2330,2020/12/28,512,515,509,515,19520.886
stock_2330,2020/12/25,514,515,510,511,12581.145
stock_2330,2020/12/24,511,512,508,510,15218.008
stock_2330,2020/12/23,508,511,506,509,18320.849
stock_2330,2020/12/22,512,516,509,509,25632.245
stock_2330,2020/12/21,512,517,508,516,35153.138
stock_2330,2020/12/18,508,512,507,510,40625.502
stock_2330,2020/12/17,515,515,508,508,39285.785
stock_2330,2020/12/16,509,515,507,512,53661.282
stock_2330,2020/12/15,507,510,504,504,43059.899
stock_2330,2020/12/14,512,513,508,508,30809.747
stock_2330,2020/12/11,517,517,505,516,51296.611
stock_2330,2020/12/10,511,515,510,512,43991.133
stock_2330,2020/12/9,521,524,520,520,46831.705
stock_2330,2020/12/8,514,525,509,524,41830.257
stock_2330,2020/12/7,512,515,506,514,45493.551
stock_2330,2020/12/4,498.5,505,497.5,503,54471.042
stock_2330,2020/12/3,499.5,499.5,495,497,36919.644
stock_2330,2020/12/2,499.5,500,493.5,499,60208.035
stock_2330,2020/12/1,489.5,490,483.5,490,38341.265
stock_2330,2020/11/30,493,493.5,480.5,480.5,149311.778
stock_2330,2020/11/27,487.5,492,486.5,489,35196.829
stock_2330,2020/11/26,489,493.5,488,489,31844.322
stock_2330,2020/11/25,495,495.5,487,487,47179.64
stock_2330,2020/11/24,499.5,500,491.5,492,38630.079
stock_2330,2020/11/23,494.5,498.5,492,496.5,43708.352
stock_2330,2020/11/20,486,490,486,488,35242.579
stock_2330,2020/11/19,499,499,490,490,47345.316
stock_2330,2020/11/18,490,497,486.5,497,56607.501
stock_2330,2020/11/17,502,506,485.5,485.5,75763.87
stock_2330,2020/11/16,470,484.5,469,484,83380.911
stock_2330,2020/11/13,459,462,456.5,462,31483.881
stock_2330,2020/11/12,463,463.5,457.5,458,57993.774
stock_2330,2020/11/11,448.5,457,448.5,457,40355.804
stock_2330,2020/11/10,452,454.5,448.5,451,36786.882
stock_2330,2020/11/9,458,460,454,458.5,43415.67
stock_2330,2020/11/6,455,455.5,450,452.5,32644.19
stock_2330,2020/11/5,451.5,451.5,445.5,451,36539.446
stock_2330,2020/11/4,444.5,451.5,443,450,37929.652
stock_2330,2020/11/3,439.5,443,438,441,31461.727
stock_2330,2020/11/2,433,435.5,428,435.5,34539.576
stock_2330,2020/10/30,437,437,432,432,49770.771
stock_2330,2020/10/29,436.5,439.5,435.5,437,43075.387
stock_2330,2020/10/28,445,447,443,444,26221.663
stock_2330,2020/10/27,447.5,448.5,445.5,447,31795.01
stock_2330,2020/10/26,455,455,450,450,15800.622
stock_2330,2020/10/23,458,458,451.5,452,18777.385
stock_2330,2020/10/22,450,455,449.5,455,25285.547
stock_2330,2020/10/21,453.5,456,451,453,29906.921
stock_2330,2020/10/20,455.5,457,451,451,26567.638
stock_2330,2020/10/19,453,457.5,451,457.5,34846.906
stock_2330,2020/10/16,451,456,448.5,449,48274.801
stock_2330,2020/10/15,456,456.5,450,453,49987.278
stock_2330,2020/10/14,460.5,461,457,459,52677.241
stock_2330,2020/10/13,465,465,456.5,462,46303.738
stock_2330,2020/10/12,458,462,457.5,460,67645.223
stock_2330,2020/10/8,450,454,448.5,453,60853.811
stock_2330,2020/10/7,435,445,435,443,44691.239
stock_2330,2020/10/6,441.5,442,437.5,439.5,36276.395
stock_2330,2020/10/5,438,438,431.5,432.5,33238.832
stock_2330,2020/9/30,430.5,435,430.5,433,28859.204
stock_2330,2020/9/29,432.5,435,428,431,42730.502
stock_2330,2020/9/28,427,431.5,424.5,431.5,34427.479
stock_2330,2020/9/25,427,428,421,424,41263.269
stock_2330,2020/9/24,425.5,429,423,423,82510.381
stock_2330,2020/9/23,436,438.5,432,433.5,47426.963
stock_2330,2020/9/22,440,441,436,437,36842.639
stock_2330,2020/9/21,443.5,450,440,440,40193.92
stock_2330,2020/9/18,447,449.5,443,444,52999.922
stock_2330,2020/9/17,453,455,446.5,448.5,44420.506
stock_2330,2020/9/16,460,462,455.5,458,70608.238
stock_2330,2020/9/15,440.5,447,439.5,445,39661.449
stock_2330,2020/9/14,436,442,435.5,441,39325.833
stock_2330,2020/9/11,435.5,436.5,432.5,436.5,34893.469
stock_2330,2020/9/10,432.5,435,430.5,435,35281.921
stock_2330,2020/9/9,425,428,423,427,40727.362
stock_2330,2020/9/8,428,433,427.5,431,23714.67
stock_2330,2020/9/7,428,432.5,425,426,39854.584
stock_2330,2020/9/4,427,432.5,427,429,51349.911
stock_2330,2020/9/3,439.5,439.5,433.5,436,40683.617
stock_2330,2020/9/2,441,441,430.5,433,42013.407
stock_2330,2020/9/1,430,435,428,435,50129.577
stock_2330,2020/8/31,437,439.5,426.5,426.5,88569.538
stock_2330,2020/8/28,440,440.5,431,435,57039.21
stock_2330,2020/8/27,448,453.5,444,444,57206.712
stock_2330,2020/8/26,435.5,442,435,442,41406.34
stock_2330,2020/8/25,433.5,436,430.5,434.5,37024.899
stock_2330,2020/8/24,427.5,434.5,425,428,49199.406
stock_2330,2020/8/21,421.5,427,420,424.5,41956.467
stock_2330,2020/8/20,427,427.5,401,415,75155.235
stock_2330,2020/8/19,436,436.5,427.5,427.5,31486.8
stock_2330,2020/8/18,440,440.5,432,433,45504.16
stock_2330,2020/8/17,427,435,425.5,435,34607.731
stock_2330,2020/8/14,424,428,423,427,24259.947
stock_2330,2020/8/13,428,429,424.5,429,45669.335
stock_2330,2020/8/12,422,423.5,419,419,53980.474
stock_2330,2020/8/11,432,435,429,429,34545.313
stock_2330,2020/8/10,427.5,437.5,427.5,435.5,36067.5
stock_2330,2020/8/7,433.5,434,428,433,37611.388
stock_2330,2020/8/6,437.5,438,431,435,43443.627
stock_2330,2020/8/5,430.5,433.5,426,429,47460.834
stock_2330,2020/8/4,421.5,425.5,418.5,425.5,41697.445
stock_2330,2020/8/3,420.5,424,415,416,77288.571
stock_2330,2020/7/31,426,432,425.5,425.5,50484.674
stock_2330,2020/7/30,436.5,441,428.5,434,69936.949
stock_2330,2020/7/29,428,431.5,419.5,422,88641.166
stock_2330,2020/7/28,464,466.5,428.5,435,172157.746
stock_2330,2020/7/27,420.5,424.5,416.5,424.5,103315.64
stock_2330,2020/7/24,390,395,382,386,90988.734
stock_2330,2020/7/23,382,383,379,381.5,45397.282
stock_2330,2020/7/22,381,386,379,384,43959.67
stock_2330,2020/7/21,372.5,387,371.5,383,64440.128
stock_2330,2020/7/20,370,370,362.5,366,44940.238
stock_2330,2020/7/17,361,369,360,367,66403.485
stock_2330,2020/7/16,359,361,353.5,357.5,68582.512
stock_2330,2020/7/15,366,370,361,363,75105.362
stock_2330,2020/7/14,355,364,354.5,363.5,63030.15
stock_2330,2020/7/13,351,354.5,350.5,354.5,49459.523
stock_2330,2020/7/10,352.5,353,345.5,348.5,60902.108
stock_2330,2020/7/9,346,347,343,345,37410.376
stock_2330,2020/7/8,337.5,342.5,337.5,341,33813.218
stock_2330,2020/7/7,343.5,346,338,338.5,59046.323
stock_2330,2020/7/6,332.5,338,332,338,57256.22
stock_2330,2020/7/3,327,330.5,326.5,329.5,55656.987
stock_2330,2020/7/2,319,322,318,322,37789.178
stock_2330,2020/7/1,315,318,314,317.5,29685.342
stock_2330,2020/6/30,313.5,314,311,313,49241.86
stock_2330,2020/6/29,314,315,310,312,56672.892
stock_2330,2020/6/24,319,320,316,317.5,55464.024
stock_2330,2020/6/23,316,316.5,312.5,315,41300.084
stock_2330,2020/6/22,314.5,316.5,312,312,37374.616
stock_2330,2020/6/19,314,314.5,312,314.5,48130.28
stock_2330,2020/6/18,314.5,315,313,314.5,35443.474
stock_2330,2020/6/17,316.5,317,313.5,315,34692.968
